transaction_id,transaction_amount,transaction_type,timestamp,year,month,day,hour,day_of_week,is_weekend
TXN000001,126.57,WITHDRAWAL,2023-11-24 04:03:12,2023,11,24,4,4,0
TXN000002,2237.07,DEPOSIT,2023-02-22 19:51:22,2023,2,22,19,2,0
TXN000003,2166.86,DEPOSIT,2023-08-05 01:09:25,2023,8,5,1,5,1
TXN000004,753.87,PAYMENT,2023-01-14 20:26:03,2023,1,14,20,5,1
TXN000005,1089.09,DEPOSIT,2023-11-29 19:50:26,2023,11,29,19,2,0
TXN000006,1138.73,DEPOSIT,2023-08-18 21:27:16,2023,8,18,21,4,0
TXN000007,53.51,WITHDRAWAL,2023-06-24 10:07:01,2023,6,24,10,5,1
TXN000008,374.04,WITHDRAWAL,2023-06-22 03:43:16,2023,6,22,3,3,0
TXN000009,396.02,PAYMENT,2023-11-06 09:37:51,2023,11,6,9,0,0
TXN000010,170.91,WITHDRAWAL,2023-08-24 19:31:24,2023,8,24,19,3,0
TXN000011,345.92,PAYMENT,2023-07-05 21:01:14,2023,7,5,21,2,0
TXN000012,651.18,PAYMENT,2023-02-21 13:50:23,2023,2,21,13,1,0
TXN000013,532.9,PAYMENT,2023-11-22 13:16:59,2023,11,22,13,2,0
TXN000014,1147.63,DEPOSIT,2023-12-26 23:35:39,2023,12,26,23,1,0
TXN000015,1072.34,DEPOSIT,2023-06-11 14:36:21,2023,6,11,14,6,1
TXN000016,3698.76,DEPOSIT,2023-10-15 19:37:24,2023,10,15,19,6,1
TXN000017,248.39,PAYMENT,2023-10-27 15:35:55,2023,10,27,15,4,0
TXN000018,462.26,PAYMENT,2023-07-24 13:10:47,2023,7,24,13,0,0
TXN000019,1442.66,DEPOSIT,2023-01-25 03:59:31,2023,1,25,3,2,0
TXN000020,599.35,PAYMENT,2023-03-23 15:22:13,2023,3,23,15,3,0
TXN000021,500.0,WITHDRAWAL,2023-07-17 13:53:39,2023,7,17,13,0,0
TXN000022,4503.96,DEPOSIT,2023-08-28 19:15:52,2023,8,28,19,0,0
TXN000023,279.56,REFUND,2023-11-25 12:23:07,2023,11,25,12,5,1
TXN000024,1363.28,TRANSFER,2023-09-08 00:42:32,2023,9,8,0,4,0
TXN000025,773.2,DEPOSIT,2023-07-05 11:11:46,2023,7,5,11,2,0
TXN000026,70.0,WITHDRAWAL,2023-02-13 17:41:39,2023,2,13,17,0,0
TXN000027,229.27,TRANSFER,2023-09-01 20:01:03,2023,9,1,20,4,0
TXN000028,283.45,PAYMENT,2023-09-22 16:26:17,2023,9,22,16,4,0
TXN000029,2761.42,DEPOSIT,2023-10-29 20:10:03,2023,10,29,20,6,1
TXN000030,723.33,PAYMENT,2023-04-23 00:15:42,2023,4,23,0,6,1
TXN000031,450.97,PAYMENT,2023-01-17 12:01:49,2023,1,17,12,1,0
TXN000032,1052.6,DEPOSIT,2023-05-02 10:08:20,2023,5,2,10,1,0
TXN000033,201.49,TRANSFER,2023-04-20 19:37:58,2023,4,20,19,3,0
TXN000034,4177.71,DEPOSIT,2023-10-20 20:58:45,2023,10,20,20,4,0
TXN000035,401.57,WITHDRAWAL,2023-08-31 14:49:14,2023,8,31,14,3,0
TXN000036,279.07,PAYMENT,2023-10-09 03:33:53,2023,10,9,3,0,0
TXN000037,293.53,TRANSFER,2023-07-19 09:39:20,2023,7,19,9,2,0
TXN000038,483.64,PAYMENT,2023-08-21 10:23:08,2023,8,21,10,0,0
TXN000039,874.49,PAYMENT,2023-10-12 17:43:08,2023,10,12,17,3,0
TXN000040,586.62,PAYMENT,2023-10-24 19:44:26,2023,10,24,19,1,0
TXN000041,403.34,PAYMENT,2023-06-10 02:04:52,2023,6,10,2,5,1
TXN000042,1650.96,DEPOSIT,2023-09-29 05:43:55,2023,9,29,5,4,0
TXN000043,557.13,DEPOSIT,2023-02-05 21:39:52,2023,2,5,21,6,1
TXN000044,761.82,PAYMENT,2023-05-01 14:42:03,2023,5,1,14,0,0
TXN000045,439.09,TRANSFER,2023-01-21 22:33:03,2023,1,21,22,5,1
TXN000046,130.61,PAYMENT,2023-06-11 02:38:28,2023,6,11,2,6,1
TXN000047,1462.75,DEPOSIT,2023-02-07 19:34:28,2023,2,7,19,1,0
TXN000048,1231.89,DEPOSIT,2023-03-22 15:57:13,2023,3,22,15,2,0
TXN000049,1005.66,TRANSFER,2023-12-27 11:00:51,2023,12,27,11,2,0
TXN000050,1700.69,TRANSFER,2023-12-01 19:15:29,2023,12,1,19,4,0
TXN000051,2000.0,TRANSFER,2023-10-11 10:54:00,2023,10,11,10,2,0
TXN000052,774.86,TRANSFER,2023-02-24 20:08:32,2023,2,24,20,4,0
TXN000053,229.2,WITHDRAWAL,2023-05-16 18:24:04,2023,5,16,18,1,0
TXN000054,215.86,WITHDRAWAL,2023-05-22 01:36:18,2023,5,22,1,0,0
TXN000055,80.49,TRANSFER,2023-03-24 16:05:12,2023,3,24,16,4,0
TXN000056,2285.22,DEPOSIT,2023-08-07 20:25:19,2023,8,7,20,0,0
TXN000057,2490.28,DEPOSIT,2023-08-09 04:38:24,2023,8,9,4,2,0
TXN000058,240.07,WITHDRAWAL,2023-04-18 09:05:06,2023,4,18,9,1,0
TXN000059,267.91,PAYMENT,2023-04-01 15:00:40,2023,4,1,15,5,1
TXN000060,426.24,REFUND,2023-06-20 14:59:24,2023,6,20,14,1,0
TXN000061,250.2,REFUND,2023-05-08 09:42:50,2023,5,8,9,0,0
TXN000062,59.18,WITHDRAWAL,2023-01-20 17:08:14,2023,1,20,17,4,0
TXN000063,272.28,WITHDRAWAL,2023-08-24 12:43:50,2023,8,24,12,3,0
TXN000064,394.89,PAYMENT,2023-04-27 08:06:59,2023,4,27,8,3,0
TXN000065,2540.22,DEPOSIT,2023-04-09 14:30:27,2023,4,9,14,6,1
TXN000066,1408.92,DEPOSIT,2023-02-05 10:09:45,2023,2,5,10,6,1
TXN000067,2274.82,DEPOSIT,2023-09-18 14:33:06,2023,9,18,14,0,0
TXN000068,1723.13,DEPOSIT,2023-10-02 12:03:24,2023,10,2,12,0,0
TXN000069,309.64,PAYMENT,2023-03-01 09:30:37,2023,3,1,9,2,0
TXN000070,694.82,PAYMENT,2023-05-16 01:23:34,2023,5,16,1,1,0
TXN000071,428.62,WITHDRAWAL,2023-08-11 12:35:09,2023,8,11,12,4,0
TXN000072,848.84,PAYMENT,2023-12-29 15:52:34,2023,12,29,15,4,0
TXN000073,1168.01,DEPOSIT,2023-06-03 18:27:49,2023,6,3,18,5,1
TXN000074,3627.62,DEPOSIT,2023-06-01 20:11:07,2023,6,1,20,3,0
TXN000075,5000.0,DEPOSIT,2023-08-04 13:48:15,2023,8,4,13,4,0
TXN000076,3486.57,DEPOSIT,2023-06-05 10:26:46,2023,6,5,10,0,0
TXN000077,663.96,PAYMENT,2023-04-20 18:36:40,2023,4,20,18,3,0
TXN000078,651.65,DEPOSIT,2023-03-28 23:59:16,2023,3,28,23,1,0
TXN000079,656.86,PAYMENT,2023-04-26 07:15:00,2023,4,26,7,2,0
TXN000080,1523.94,DEPOSIT,2023-11-19 20:57:34,2023,11,19,20,6,1
TXN000081,217.19,WITHDRAWAL,2023-10-13 09:04:22,2023,10,13,9,4,0
TXN000082,640.84,PAYMENT,2023-03-04 16:37:09,2023,3,4,16,5,1
TXN000083,2000.0,TRANSFER,2023-11-01 11:33:08,2023,11,1,11,2,0
TXN000084,5000.0,DEPOSIT,2023-09-01 16:23:11,2023,9,1,16,4,0
TXN000085,547.72,DEPOSIT,2023-05-21 16:00:54,2023,5,21,16,6,1
TXN000086,402.89,WITHDRAWAL,2023-06-13 19:39:58,2023,6,13,19,1,0
TXN000087,656.14,PAYMENT,2023-03-20 07:47:23,2023,3,20,7,0,0
TXN000088,4589.19,DEPOSIT,2023-07-28 12:02:49,2023,7,28,12,4,0
TXN000089,2077.32,DEPOSIT,2023-08-04 14:10:49,2023,8,4,14,4,0
TXN000090,3414.28,DEPOSIT,2023-06-30 10:52:19,2023,6,30,10,4,0
TXN000091,1993.54,DEPOSIT,2023-08-25 06:36:59,2023,8,25,6,4,0
TXN000092,199.81,PAYMENT,2023-07-14 11:55:06,2023,7,14,11,4,0
TXN000093,685.21,PAYMENT,2023-07-14 10:07:51,2023,7,14,10,4,0
TXN000094,807.71,DEPOSIT,2023-08-04 09:11:05,2023,8,4,9,4,0
TXN000095,352.4,WITHDRAWAL,2023-01-27 12:44:30,2023,1,27,12,4,0
TXN000096,1857.44,TRANSFER,2023-02-05 23:43:46,2023,2,5,23,6,1
TXN000097,286.67,PAYMENT,2023-01-16 09:00:11,2023,1,16,9,0,0
TXN000098,277.5,WITHDRAWAL,2023-01-11 22:37:19,2023,1,11,22,2,0
TXN000099,365.44,WITHDRAWAL,2023-03-06 17:14:30,2023,3,6,17,0,0
TXN000100,442.9,PAYMENT,2023-05-12 13:25:51,2023,5,12,13,4,0
TXN000101,1000.0,PAYMENT,2023-03-25 11:19:28,2023,3,25,11,5,1
TXN000102,525.82,PAYMENT,2023-07-12 14:26:30,2023,7,12,14,2,0
TXN000103,802.22,DEPOSIT,2023-08-08 13:29:31,2023,8,8,13,1,0
TXN000104,3787.82,DEPOSIT,2023-11-28 12:25:25,2023,11,28,12,1,0
TXN000105,471.62,PAYMENT,2023-08-04 17:50:51,2023,8,4,17,4,0
TXN000106,344.12,REFUND,2023-10-03 17:36:12,2023,10,3,17,1,0
TXN000107,196.51,REFUND,2023-10-31 09:46:19,2023,10,31,9,1,0
TXN000108,353.25,WITHDRAWAL,2023-11-02 10:03:31,2023,11,2,10,3,0
TXN000109,320.99,TRANSFER,2023-09-22 06:57:22,2023,9,22,6,4,0
TXN000110,374.9,PAYMENT,2023-07-28 17:47:18,2023,7,28,17,4,0
TXN000111,1114.66,TRANSFER,2023-05-04 17:20:02,2023,5,4,17,3,0
TXN000112,5000.0,DEPOSIT,2023-02-17 10:42:46,2023,2,17,10,4,0
TXN000113,765.53,PAYMENT,2023-10-25 13:26:08,2023,10,25,13,2,0
TXN000114,515.28,PAYMENT,2023-09-29 12:30:56,2023,9,29,12,4,0
TXN000115,263.95,PAYMENT,2023-10-09 12:02:37,2023,10,9,12,0,0
TXN000116,425.84,WITHDRAWAL,2023-08-21 09:51:49,2023,8,21,9,0,0
TXN000117,859.03,TRANSFER,2023-09-05 10:04:01,2023,9,5,10,1,0
TXN000118,827.17,TRANSFER,2023-09-26 21:43:42,2023,9,26,21,1,0
TXN000119,860.04,PAYMENT,2023-12-29 19:26:50,2023,12,29,19,4,0
TXN000120,504.32,PAYMENT,2023-08-14 12:24:17,2023,8,14,12,0,0
TXN000121,560.28,PAYMENT,2023-01-27 09:11:32,2023,1,27,9,4,0
TXN000122,281.14,WITHDRAWAL,2023-07-25 17:54:14,2023,7,25,17,1,0
TXN000123,279.8,WITHDRAWAL,2023-10-16 11:03:44,2023,10,16,11,0,0
TXN000124,873.98,DEPOSIT,2023-07-14 16:24:09,2023,7,14,16,4,0
TXN000125,57.61,PAYMENT,2023-12-05 02:57:21,2023,12,5,2,1,0
TXN000126,591.38,PAYMENT,2023-03-30 20:05:50,2023,3,30,20,3,0
TXN000127,848.36,DEPOSIT,2023-01-02 14:52:25,2023,1,2,14,0,0
TXN000128,419.21,PAYMENT,2023-11-01 17:06:32,2023,11,1,17,2,0
TXN000129,639.21,PAYMENT,2023-12-26 16:31:50,2023,12,26,16,1,0
TXN000130,627.1,DEPOSIT,2023-04-12 15:28:43,2023,4,12,15,2,0
TXN000131,5000.0,DEPOSIT,2023-04-26 23:34:46,2023,4,26,23,2,0
TXN000132,961.05,PAYMENT,2023-05-17 05:10:43,2023,5,17,5,2,0
TXN000133,506.27,PAYMENT,2023-10-19 10:30:28,2023,10,19,10,3,0
TXN000134,313.05,WITHDRAWAL,2023-08-28 11:04:17,2023,8,28,11,0,0
TXN000135,391.93,PAYMENT,2023-08-10 11:44:07,2023,8,10,11,3,0
TXN000136,456.0,DEPOSIT,2023-01-11 09:48:45,2023,1,11,9,2,0
TXN000137,934.81,DEPOSIT,2023-03-31 17:07:49,2023,3,31,17,4,0
TXN000138,5000.0,DEPOSIT,2023-08-15 10:07:38,2023,8,15,10,1,0
TXN000139,2235.04,DEPOSIT,2023-10-27 15:52:12,2023,10,27,15,4,0
TXN000140,101.46,PAYMENT,2023-07-29 12:08:07,2023,7,29,12,5,1
TXN000141,596.35,PAYMENT,2023-12-22 18:02:22,2023,12,22,18,4,0
TXN000142,913.27,PAYMENT,2023-07-25 20:01:42,2023,7,25,20,1,0
TXN000143,172.31,WITHDRAWAL,2023-02-15 11:27:04,2023,2,15,11,2,0
TXN000144,184.12,PAYMENT,2023-03-01 14:42:56,2023,3,1,14,2,0
TXN000145,1433.52,DEPOSIT,2023-08-25 15:02:45,2023,8,25,15,4,0
TXN000146,5000.0,DEPOSIT,2023-03-09 10:29:12,2023,3,9,10,3,0
TXN000147,180.38,PAYMENT,2023-12-24 17:38:52,2023,12,24,17,6,1
TXN000148,247.39,WITHDRAWAL,2023-09-13 10:37:34,2023,9,13,10,2,0
TXN000149,445.17,WITHDRAWAL,2023-03-16 13:57:57,2023,3,16,13,3,0
TXN000150,4996.1,DEPOSIT,2023-08-01 12:22:28,2023,8,1,12,1,0
TXN000151,267.02,WITHDRAWAL,2023-05-25 10:52:12,2023,5,25,10,3,0
